Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
  135    0 0xffffff7f82a17000 0x4000     0x4000     com.apple.driver.ApplePlatformEnabler (2.7.0d0) 8A5BD78F-CEBD-39E1-923C-CD50627509D8 <8 6 5 3>
  136    1 0xffffff7f822d0000 0x7000     0x7000     com.apple.driver.X86PlatformShim (1.0.0) 6E37DB1C-5DF5-3F7A-9716-81C076F8E3BF <103 102 14 8 5 3>
  137    0 0xffffff7f828dd000 0x19000    0x19000    com.apple.driver.AGPM (110.23.46) 9A7BD08F-08E4-3DB7-A339-706609B0149A <102 97 54 53 13 7 6 5 3>
  138    1 0xffffff7f83125000 0x5c000    0x5c000    com.apple.filesystems.ntfs (3.13) 88C362BF-0B0E-32DF-9D85-AF9703B048B8 <8 7 6 5 1>
  139    2 0xffffff7f82a23000 0x5000     0x5000     com.apple.kext.triggers (1.0) B632A1C4-BDEA-35DF-B320-C5D2E77C241F <8 7 6 5 3 1>
  140    0 0xffffff7f82a28000 0x9000     0x9000     com.apple.filesystems.autofs (3.0) 9F33B8ED-D4DB-31A7-8E12-7ECE9F6CDE9A <139 8 7 6 5 3 2 1>
  141    0 0xffffff7f82c92000 0x5000     0x5000     com.apple.driver.AudioAUUC (1.70) 6F364705-FC37-3CA8-8E15-C2E3000CE205 <89 53 13 12 8 6 5 3 1>
  142    0 0xffffff7f8166d000 0x18000    0x18000    com.apple.fileutil (18.306.12) C5EF45E1-B31A-3DC0-827C-5057DAAADDE6 <6 5 3 2 1>
  143    0 0xffffff7f83185000 0x2c6000   0x2c6000   com.realtek.driver.RtWlanU1827 (1827.4.b19) AC5D6F7B-B2E2-3C5A-8927-8025CE3B19C6 <73 24 6 5 3 1>
  144    2 0xffffff7f8344b000 0x5000     0x5000     com.apple.iokit.IOEthernetAVBController (1.1.0) 43E4FF0D-16A8-32EB-AAC0-73ADB153914E <24 6 5 3 1>
  145    1 0xffffff7f83450000 0x9b000    0x9b000    com.apple.plugin.IOgPTPPlugin (700.7) F27998C4-8FEA-392F-B132-F6A67CB4BC1B <144 59 25 24 10 7 6 5 3 1>
  146    0 0xffffff7f834eb000 0xf000     0xf000     com.apple.iokit.IOAVBFamily (710.1) 2B2C886C-C656-3782-998D-79172349C318 <145 144 25 24 7 6 5 3 1>
  147    0 0xffffff7f834fa000 0xf000     0xf000     com.apple.filesystems.msdosfs (1.10) BA2C22D4-9414-3864-8C30-C10941599FD4 <8 6 5 1>
  148    0 0xffffff7f83509000 0x65000    0x65000    com.apple.filesystems.smbfs (3.3.1) E8502198-6395-35AA-9DBD-35AD93251D37 <139 9 8 7 6 5 3 1>
